Cidade;UF;Sigla;Latitude aprox.;Longitude aprox.;Inclina‡Æo;Dip. Lat.;Posi‡Æo;;;;Coeficientes;;;Legendas;;
Humait ;AM;AMHA;-07ø 31';-63ø 02';2,097;1,049;EQ;;;;;;;;;
Ilha Solteira;SP;ILHA;-20§ 26';-51§ 21';-28,66;-15,285;BL;;;;;;;;;
Ilh‚us;BA;BAIL;-14§ 48';-39§ 10';-32,663;-17,773;BL;;;;;;;;;
Imbituba;SC;IMBT;-28§ 14';-48§ 39';-39,523;-22,416;ML;;;;;;;;;
Imperatriz;MA;IMPZ;-5§ 29';-47§ 29';-9,331;-4,697;EQ;;;;;;;;;
Inconfidentes;MG;MGIN;-22§ 19';-46§ 20';-35,258;-19,467;BL;;;;;;;;;
Irecˆ;BA;BAIR;-11§ 18';-41§ 52';-25,057;-13,157;BL;;;;;;;;;
Itaberaba;BA;BAIT;-12ø 31';-40ø 17';-28,458;-15,163;BL;;;;;;;;;
Itacoatiara;AM;ITAM;-03§ 08';-58§ 26';6,135;3,076;EQ;;;;;;;;;
Itaituba;PA;PAIT;-4§ 17';-56§ 2';1,859;0,930;EQ;;;;;;;;;
Jaboticabal;SP;SPJA;-21§ 14';-48§ 17';-32,328;-17,559;BL;;;;;;;;;
Ja¡ba;MG;JAMG;-15§ 21';-43§ 46';-28,956;-15,464;BL;;;;;;;;;
Jata¡;GO;GOJA;-17§ 53';-51§ 44';-24,834;-13,029;BL;;;;;;;;;
Ji-Paran ;RO;ROJI;-10§ 52';-61§ 58';-4,63;-2,319;EQ;;;;;;;;;
JoÆo Pessoa;PB;PBJP;-07§ 08';-34§ 52';-25,597;-13,470;BL;;;;;;;;;
Ju¡na IFMT;MT;MTJI;-11§ 26';-58§ 43';-8,242;-4,142;EQ;;;;;;;;;
Lages;SC;SCLA;-27§ 48';-50§ 18';-37,938;-21,294;ML;;;;;;;;;
Laranjal do Jari;AP;APLJ;-00§ 49';-52§ 30';4,493;2,250;EQ;;;;;;;;;
Lins - UNILINS;SP;SPLI;-21§ 40';-49§ 44';-31,612;-17,106;BL;;;;;;;;;
Macap ;AP;MAPA;0§ 05';-51§ 06';4,349;2,178;EQ;;;;;;;;;
Manaus;AM;NAUS;-3§ 1';-60§ 3';7,735;3,885;EQ;;;;;;;;;
Manaus - UEA;AM;AMUA;-03§ 06';-60§ 01';7,561;3,797;EQ;;;;;;;;;
