Lins - UNILINS	SP	SPLI	-21 40	-49 44	
Lusaka	SA	ZAMB	-15 25	28 18	
Macapá	AP	MAPA	0 05	-51 06	
Mafikeng	SA	MFKG	-25 48	25 32	
Malindi	KN	MAL2	-2 59	40 11	
Manaus	AM	MANA	-3 6	-60 3	
Manaus	AM	NAUS	-3 1	-60 3	
Manaus - UEA	AM	AMUA	-03 06	-60 01	
Marabá	PA	MABA	-5 21	-49 7	
Maring	PR	PRMA	-23 25	-51 56	
Matogoro Songea	TZ	SNGC	-10 41	35 40	
Maun	BW	MAUA	-19 54	23 31	
Maués	AM	AMMU	-03 24	-57 43	
Mbamba Bay	TZ	MBBC	-11 16	34 48	
Mbarara	UG	MBAR	-0 36	30 44	
Mbeya	TZ	MBEY	-8 54	33 27	
Metzoki Dragot	IS	DRAG	31 35	35 23	
Mitzpe Ramon	IS	RAMO	30 35	34 46	
Monte Carmelo	MG	MGMT	-18 43	-47 31	
Montes Claros - CEMIG	MG	MCLA	-16 43	-43 53	
Montes Claros - Rede CEMIG	MG	MCL1	-16 43	-43 53	
Montes Claros-CODEVASF	MG	MGMC	-16 43	-43 51	
Mossoró	RN	RNMO	-5 12	-37 20	
Motola Village	TZ	MATL	-9 35	34 35	
Mtandika	TZ	MTDK	-7 32	36 25	
Mtwara	TZ	MTVE	-10 15	40 09	
Mykolaiv	UK	MIKL	46 58	31 58	
Natal	RN	RNNA	-5 50	-35 12	
Negele	ET	NEGE	5 20	39 35	
Nicosia	CY	NICO	35 8	33 23	
Nova Xavantina	MT	MTNX	-14 42	-52 21	
Olo3	TZ	OLO3	-2 45	35 52	
Ourinhos	SP	OURI	-22 57	-49 54	
Palestine Street	IQ	ISBA	33 20	44 26	
Palmas	TO	TOPL	-10 10	-48 20	
Parintins	AM	AMPR	-02 38	-56 44	
Passo Fundo	RS	RSPF	-28 14	-52 23	
Pau dos Ferros	RN	RNPF	-06 08	-38 12	
Pelotas	RS	RSPE	-31 48	-52 25	
Petrolina	PE	PEPE	-9 23	-40 30	
Piracicaba	SP	SPPI	-22 42	-47 37	
Ponta Porã	MS	MSPP	-22 37	-55 37	
Porto Alegre	RS	POAL	-30 4	-51 7	
Porto Velho	RO	POVE	-8 43	-63 54	
Pres. Prudente	SP	PPTE	-22 7	-51 25	
Presidente Prudente	SP	UEPP	-22 7	-51 24	
Pretoria	SA	HARB	-25 53	27 42	
Pretoria	SA	PRE3	-25 44	28 13	
Ras Hmade	SA	RASH	28 17	34 47	
Recife	PE	RECF	-8 3	-34 58	
Richardsbay	SA	RBAY	-28 47	32 04	
